Ano,Mês,Bairro,Utilização,Tipologia,Total,Valor Recolhido
2013,02,TAQUARA,NAO RESIDENCIAL,ESPECIAL,1,51239.05
2013,02,TURIACU,RESIDENCIAL,CASA,1,1255.37
2013,02,TURIACU,RESIDENCIAL,APARTAMENTO,4,8894.58
2013,02,TURIACU,NAO RESIDENCIAL,LOJA,1,12157.22
2013,02,ABOLICAO,RESIDENCIAL,APARTAMENTO,7,19258.23
2013,02,ABOLICAO,NAO RESIDENCIAL,LOJA,1,3920.22
2013,02,ANCHIETA,RESIDENCIAL,CASA,1,1600
2013,02,ANCHIETA,RESIDENCIAL,APARTAMENTO,1,2257.42
2013,02,BOTAFOGO,RESIDENCIAL,CASA,9,146963.43
2013,02,BOTAFOGO,RESIDENCIAL,APARTAMENTO,83,1481972.16
2013,02,BOTAFOGO,NAO RESIDENCIAL,LOJA,3,29858.09
2013,02,BOTAFOGO,NAO RESIDENCIAL,SALA,5,38318.55
2013,02,BOTAFOGO,NAO RESIDENCIAL,ESPECIAL,2,72550.16
2013,02,CACHAMBI,RESIDENCIAL,CASA,3,26500
2013,02,CACHAMBI,RESIDENCIAL,APARTAMENTO,34,155076.23
2013,02,CACHAMBI,NAO RESIDENCIAL,LOJA,2,14191.3
2013,02,CORDOVIL,RESIDENCIAL,CASA,2,4237.64
2013,02,CORDOVIL,RESIDENCIAL,APARTAMENTO,3,8246.75
2013,02,CORDOVIL,NAO RESIDENCIAL,GALPAO,3,3857028.98
2013,02,CURICICA,RESIDENCIAL,CASA,4,21140
2013,02,CURICICA,RESIDENCIAL,APARTAMENTO,3,8267.93
2013,02,CURICICA,TERRITORIAL,TERRENO,4,22480.53
2013,02,FLAMENGO,RESIDENCIAL,APART-HOTEL,1,12240.1
2013,02,FLAMENGO,RESIDENCIAL,APARTAMENTO,52,839750.64
2013,02,FLAMENGO,NAO RESIDENCIAL,LOJA,5,26278.27
2013,02,FLAMENGO,NAO RESIDENCIAL,SALA,2,10500
2013,02,FLAMENGO,NAO RESIDENCIAL,APARTAMENTO,2,10322.58
2013,02,MARACANA,RESIDENCIAL,CASA,1,14000
2013,02,MARACANA,RESIDENCIAL,APARTAMENTO,20,244338.39
2013,02,MARACANA,NAO RESIDENCIAL,LOJA,1,6740.24
2013,02,REALENGO,RESIDENCIAL,CASA,5,12834.14
2013,02,REALENGO,RESIDENCIAL,APARTAMENTO,7,14307.45
2013,02,REALENGO,RESIDENCIAL,CASA/APTO (PROLETARIO),3,1768.05
2013,02,REALENGO,NAO RESIDENCIAL,LOJA,2,1382.17
2013,02,REALENGO,NAO RESIDENCIAL,COLEGIO/CRECHE,1,2817.48
2013,02,SEPETIBA,RESIDENCIAL,CASA,2,1564.96
2013,02,SEPETIBA,RESIDENCIAL,APARTAMENTO,1,1287.79
2013,02,VAZ LOBO,RESIDENCIAL,CASA,3,9910.53
2013,02,VAZ LOBO,RESIDENCIAL,APARTAMENTO,1,2200
2013,02,CASCADURA,RESIDENCIAL,APARTAMENTO,7,21467.1
2013,02,CASCADURA,TERRITORIAL,TERRENO,2,3433.59
2013,02,CASCADURA,NAO RESIDENCIAL,LOJA,1,6515.46
2013,02,CASCADURA,NAO RESIDENCIAL,SALA,8,17240.72
